trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
763,False,"{'a': 0.25, 'e': 0.02542273699685561}",25,0,34.25962318718919,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
764,False,"{'a': 0.25, 'e': 0.025390421219035047}",25,18,13.900134305562517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.25, 'e': 0.025358187544551044}",30,23,14.666170180266853,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.25, 'e': 0.025326035660773814}",25,11,26.566470229706283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.25, 'e': 0.025293965256659275}",35,14,33.759260355384676,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.25, 'e': 0.02526197602273902}",25,0,19.522289621414586,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
769,False,"{'a': 0.25, 'e': 0.025230067651110348}",25,10,-11.380455974987491,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
770,False,"{'a': 0.25, 'e': 0.025198239835426368}",20,3,25.958997882801494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.25, 'e': 0.025166492270886184}",25,0,34.37775727553841,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
772,False,"{'a': 0.25, 'e': 0.025134824654225153}",25,19,8.796018658697825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.25, 'e': 0.025103236683705222}",20,13,14.401981249881478,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.25, 'e': 0.025071728059105316}",25,6,25.924078078082363,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.25, 'e': 0.02504029848171183}",30,8,40.23847429682682,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.25, 'e': 0.02500894765430917}",25,17,16.133708636665162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.25, 'e': 0.02497767528117037}",20,10,14.803110201667725,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,2,32.32171979034691,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,15,9.82200437390392,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,23.351301383374974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,11.494778030555961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,18.60127965282509,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,16.961811943039635,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,37.30482779056294,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,19,8.922002970068055,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,21,20.478416807054284,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
